ZIF 1,Samtec 1,ZIF 2,Samtec 2
31,1,40,65
29,2,42,66
27,3,44,67
25,4,46,68
23,5,48,69
21,6,50,70
19,7,52,71
17,8,54,72
15,9,56,73
13,10,58,74
11,11,60,75
9,12,62,76
7,13,64,77
5,14,66,78
3,15,68,79
1,16,70,80
33,17,8,81
35,18,10,82
37,19,12,83
39,20,14,84
41,21,16,85
43,22,18,86
45,23,20,87
47,24,22,88
49,25,24,89
51,26,26,90
53,27,28,91
55,28,30,92
57,29,32,93
59,30,34,94
61,31,36,95
63,32,38,96
2,33,71,97
4,34,69,98
6,35,67,99
8,36,65,100
10,37,63,101
12,38,61,102
14,39,59,103
16,40,57,104
18,41,55,105
20,42,53,106
22,43,51,107
24,44,49,108
26,45,47,109
28,46,45,110
30,47,43,111
32,48,41,112
34,49,39,113
36,50,37,114
38,51,35,115
40,52,33,116
42,53,31,117
44,54,29,118
46,55,27,119
48,56,25,120
50,57,23,121
52,58,21,122
54,59,19,123
56,60,17,124
58,61,15,125
60,62,13,126
62,63,11,127
64,64,9,128
65,nan,1,nan
66,nan,2,nan
67,nan,3,nan
68,nan,4,nan
69,nan,5,nan
70,nan,6,nan
71,nan,7,nan
